Time,Bond,Angle,Proper Dih.,Per. Imp. Dih.,LJ-14,Coulomb-14,LJ (SR),Coulomb (SR),Coul. recip.,Potential,Kinetic En.,Total Energy,Conserved En.,Temperature,Pressure,Box-X,Box-Y,Box-Z,Volume,Density,pV,Enthalpy,Vir-XX,Vir-XY,Vir-XZ,Vir-YX,Vir-YY,Vir-YZ,Vir-ZX,Vir-ZY,Vir-ZZ,Pres-XX,Pres-XY,Pres-XZ,Pres-YX,Pres-YY,Pres-YZ,Pres-ZX,Pres-ZY,Pres-ZZ,#Surf*SurfTen,T-System,Lamb-System
0.0,8307.669921875,5312.87255859375,2158.00537109375,463.09088134765625,19047.662109375,78280.0234375,24755.44921875,-417132.875,391.8105163574219,-278416.28125,10672.37109375,-267743.90625,-267768.125,252.35255432128906,39.45196533203125,51.78738594055176,51.78738594055176,51.78738594055176,138.89031982421875,589.0780029296875,8.364171028137207,-267735.53125,2014.704345703125,1073.3470458984375,-65.82673645019531,1073.3409423828125,4478.05810546875,1410.5264892578125,-65.85310363769531,1410.5325927734375,3684.634521484375,364.7264099121094,-257.3475646972656,20.910259246826172,-257.34613037109375,-221.2207489013672,-347.7801208496094,20.916563034057617,-347.7815856933594,-25.14976692199707,-501.8332214355469,252.3525390625,1.0
0.5,8395.9951171875,5473.607421875,2006.7857666015625,443.4362487792969,18920.515625,78245.96875,25368.8046875,-417749.09375,378.9735412597656,-278515.0,10644.5439453125,-267870.46875,-267642.5625,251.69456481933594,-274.0809020996094,51.772446632385254,51.772446632385254,51.772446632385254,138.77015686035156,589.5880737304688,8.356934547424316,-267862.125,5590.158203125,-693.0015869140625,-1675.28271484375,-692.9884033203125,5601.53173828125,475.8496398925781,-1675.25830078125,475.8056945800781,2888.56787109375,-523.3345947265625,152.56707763671875,394.6884460449219,152.5639190673828,-453.9801025390625,-120.6921157836914,394.6825866699219,-120.68161010742188,155.0719757080078,3332.744140625,251.69456481933594,1.0
1.0,8317.6376953125,5507.78515625,2138.326416015625,456.6432800292969,18965.00390625,78242.9765625,24987.142578125,-417333.84375,384.7586669921875,-278333.5625,10430.0546875,-267903.5,-267611.59375,246.6228790283203,-136.59825134277344,51.72896385192871,51.72896385192871,51.72896385192871,138.42079162597656,591.076171875,8.335894584655762,-267895.15625,5432.67431640625,-707.0068359375,-320.0292663574219,-707.016357421875,4815.82763671875,42.01154327392578,-320.0347595214844,41.98737335205078,1889.5560302734375,-464.7694091796875,151.5899200439453,78.29551696777344,151.5922088623047,-312.4434814453125,-16.757938385009766,78.29683685302734,-16.752140045166016,367.41815185546875,3910.8369140625,246.6228790283203,1.0
1.5,8720.1357421875,5308.9736328125,2195.2080078125,467.40496826171875,18862.59765625,78220.2890625,24584.267578125,-416858.28125,396.7331237792969,-278102.6875,10545.033203125,-267557.65625,-267488.1875,249.34158325195312,-1102.40283203125,51.79054260253906,51.79054260253906,51.79054260253906,138.91571044921875,588.9703369140625,8.365699768066406,-267549.28125,7492.79638671875,-1811.874755859375,619.99951171875,-1811.8988037109375,7905.54638671875,-216.17584228515625,619.9912109375,-216.14410400390625,8980.2470703125,-939.3058471679688,452.8036804199219,-153.70654296875,452.8094177246094,-1058.0970458984375,49.595619201660156,-153.70455932617188,49.58803176879883,-1309.8056640625,-1611.225830078125,249.34158325195312,1.0
2.0,8375.873046875,5460.75048828125,2058.75439453125,482.8015441894531,19073.40234375,78255.1875,25255.185546875,-417675.84375,384.7984924316406,-278329.0625,10273.5390625,-268055.53125,-267494.375,242.9219970703125,-39.33668899536133,51.742210388183594,51.742210388183594,51.742210388183594,138.52716064453125,590.622314453125,8.342300415039062,-268047.1875,2571.373291015625,713.6548461914062,-176.4658203125,713.6663208007812,3598.774658203125,-400.6387939453125,-176.45947265625,-400.6357421875,4595.62939453125,209.2949676513672,-188.29061889648438,38.203800201416016,-188.29336547851562,-21.73826789855957,92.39814758300781,38.20227813720703,92.39741516113281,-305.5667724609375,-2066.300048828125,242.9219970703125,1.0
2.5,8308.2958984375,5695.94091796875,2086.34521484375,452.5108337402344,18975.671875,78244.2421875,24678.69921875,-417210.25,378.633544921875,-278389.9375,11038.12109375,-267351.8125,-267498.4375,261.0008544921875,-119.40279388427734,51.79614067077637,51.79614067077637,51.79614067077637,138.9607696533203,588.7793579101562,8.368412971496582,-267343.4375,3241.748291015625,591.2964477539062,-985.3253784179688,591.3198852539062,4547.87158203125,-482.248046875,-985.3185424804688,-482.2333984375,4747.31884765625,115.18982696533203,-154.83261108398438,242.66873168945312,-154.8382110595703,-187.7096710205078,110.96879577636719,242.66708374023438,110.96529388427734,-285.68853759765625,-1291.9439697265625,261.0008544921875,1.0
3.0,8172.96923828125,5531.2890625,2090.825439453125,490.7699279785156,19147.375,78308.46875,25136.12890625,-417470.46875,389.75567626953125,-278202.875,10603.8701171875,-267599.0,-267435.0625,250.73280334472656,423.4118347167969,51.744914054870605,51.744914054870605,51.744914054870605,138.5488739013672,590.5297241210938,8.343607902526855,-267590.65625,698.9869384765625,-164.38290405273438,2386.9599609375,-164.38729858398438,2319.560302734375,1421.208984375,2386.9541015625,1421.226806640625,2286.14892578125,670.3751220703125,38.71753692626953,-558.8385009765625,38.718597412109375,269.71490478515625,-357.1265869140625,-558.8370971679688,-357.130859375,330.1454772949219,-723.908935546875,250.73280334472656,1.0
3.5,8574.951171875,5411.64599609375,2065.04931640625,458.2886047363281,18982.953125,78287.1328125,24605.130859375,-416927.375,382.6802978515625,-278159.53125,10403.0751953125,-267756.46875,-267286.9375,245.9849395751953,-304.6374206542969,51.76932334899902,51.76932334899902,51.76932334899902,138.7450408935547,589.69482421875,8.355422019958496,-267748.125,4799.375,1237.4736328125,782.9163208007812,1237.49462890625,3881.31689453125,1046.158203125,782.8989868164062,1046.0953369140625,5540.4443359375,-318.2497863769531,-285.8313293457031,-212.5069122314453,-285.8363342285156,-98.09790802001953,-267.97344970703125,-212.5027618408203,-267.9584045410156,-497.56451416015625,-1498.1558837890625,245.98492431640625,1.0
4.0,8324.9208984375,5550.14453125,2089.8759765625,481.261474609375,19001.525390625,78295.9296875,24612.12890625,-417060.375,389.2240295410156,-278315.375,10422.0654296875,-267893.3125,-267301.5,246.4339599609375,21.004486083984375,51.789188385009766,51.789188385009766,51.789188385009766,138.90481567382812,589.0165405273438,8.365043640136719,-267884.9375,2562.605224609375,-1512.114013671875,827.4125366210938,-1512.133544921875,2016.4276123046875,-16.05503273010254,827.4052124023438,-16.01474952697754,5579.4775390625,196.8457794189453,381.7684326171875,-218.00436401367188,381.7731018066406,365.6830139160156,6.7710490226745605,-218.00262451171875,6.761418342590332,-499.5153503417969,-4043.594970703125,246.4339599609375,1.0
4.5,8273.4013671875,5363.13818359375,2081.03564453125,453.5144958496094,19081.916015625,78283.7421875,24995.2421875,-417274.75,388.3460693359375,-278354.40625,10412.7548828125,-267941.65625,-267249.28125,246.21380615234375,110.07176971435547,51.76285266876221,51.76285266876221,51.76285266876221,138.69302368164062,589.9159545898438,8.352289199829102,-267933.3125,2520.0283203125,-25.88219451904297,462.083740234375,-25.91307830810547,1812.046630859375,278.3160400390625,462.0745849609375,278.36669921875,4701.65283203125,203.84475708007812,2.900895833969116,-113.18727111816406,2.9082913398742676,418.4594421386719,-68.56522369384766,-113.1850814819336,-68.57735443115234,-292.0888977050781,-3122.547607421875,246.21380615234375,1.0
