,Temperature (K),Unit-cell length (nm)
0,50.0,5.197469711303711
1,100.0,5.190918922424316
2,150.0,5.1857147216796875
3,200.0,5.1806464195251465
4,250.0,5.17610502243042
5,300.0,5.172077655792236
6,350.0,5.167870998382568
7,400.0,5.164061069488525
8,450.0,5.1601176261901855
9,500.0,5.1567463874816895
10,550.0,5.153051376342773
11,600.0,5.149700164794922
