Time,Bond,Angle,Proper Dih.,Per. Imp. Dih.,LJ-14,Coulomb-14,LJ (SR),Coulomb (SR),Coul. recip.,Potential,Kinetic En.,Total Energy,Conserved En.,Temperature,Pressure,Box-X,Box-Y,Box-Z,Volume,Density,pV,Enthalpy,Vir-XX,Vir-XY,Vir-XZ,Vir-YX,Vir-YY,Vir-YZ,Vir-ZX,Vir-ZY,Vir-ZZ,Pres-XX,Pres-XY,Pres-XZ,Pres-YX,Pres-YY,Pres-YZ,Pres-ZX,Pres-ZY,Pres-ZZ,#Surf*SurfTen,T-System,Lamb-System
0.0,1049.8878173828125,643.6287231445312,357.19818115234375,75.73871612548828,2447.767333984375,9806.6982421875,3128.6728515625,-52053.6953125,46.64653015136719,-34497.453125,1531.851318359375,-32965.6015625,-32951.26953125,290.369384765625,1928.01611328125,25.71016550064087,25.71016550064087,25.71016550064087,16.99474334716797,601.7833862304688,1.0234473943710327,-32964.578125,-961.7236938476562,164.21133422851562,-472.600341796875,164.21572875976562,-87.17078399658203,-13.57194709777832,-472.5998840332031,-13.57200813293457,-379.088623046875,2977.34814453125,-311.67120361328125,890.5308837890625,-311.6797790527344,1125.16748046875,8.418819427490234,890.530029296875,8.418932914733887,1681.5325927734375,-950.5696411132812,290.369384765625,1.0
0.5,1117.69189453125,724.0189819335938,335.41412353515625,80.34597778320312,2372.129150390625,9782.8330078125,2852.7197265625,-51855.9140625,51.732051849365234,-34539.03125,1649.2236328125,-32889.80859375,-32880.1875,312.6178283691406,-567.707763671875,25.945491790771484,25.945491790771484,25.945491790771484,17.465688705444336,585.556884765625,1.0518083572387695,-32888.7578125,839.7764892578125,491.38983154296875,-466.1796875,491.3908996582031,753.973876953125,-179.21969604492188,-466.17828369140625,-179.21395874023438,951.1529541015625,-510.6825256347656,-920.1392211914062,830.3853759765625,-920.1412353515625,-424.5448303222656,391.1813659667969,830.3826904296875,391.17047119140625,-767.89599609375,-779.0972290039062,312.6178283691406,1.0
1.0,1133.9727783203125,773.3304443359375,297.1278381347656,78.3040542602539,2332.657470703125,9776.2265625,2861.18212890625,-51859.296875,52.370609283447266,-34554.125,1620.8876953125,-32933.23828125,-32806.578125,307.2466125488281,-1720.259765625,26.005780696868896,26.005780696868896,26.005780696868896,17.587724685668945,581.4938354492188,1.0591574907302856,-32932.1796875,1315.32177734375,-400.0705261230469,682.009765625,-400.0684509277344,1301.7078857421875,277.6884765625,682.0051879882812,277.68475341796875,1736.8970947265625,-1547.640869140625,834.5885009765625,-1268.3642578125,834.5845947265625,-1467.4561767578125,-513.5264282226562,-1268.355712890625,-513.5194091796875,-2145.682373046875,-1659.5167236328125,307.2466125488281,1.0
1.5,1044.255859375,713.6226196289062,300.4425354003906,67.24796295166016,2388.395751953125,9794.6162109375,2973.2138671875,-51974.15625,56.317100524902344,-34636.04296875,1527.9000244140625,-33108.14453125,-32721.650390625,289.6203918457031,430.69775390625,25.883519649505615,25.883519649505615,25.883519649505615,17.34083366394043,589.7728881835938,1.044289469718933,-33107.1015625,264.46441650390625,31.146940231323242,-443.6037902832031,31.147916793823242,-111.99603271484375,-86.86375427246094,-443.6013488769531,-86.86607360839844,700.77197265625,454.3113098144531,-17.038068771362305,902.9429321289062,-17.03994369506836,1213.296875,132.8181915283203,902.938232421875,132.8226318359375,-375.5148620605469,-3130.14306640625,289.6203918457031,1.0
2.0,1020.2822875976562,739.2003173828125,361.8382263183594,73.82305145263672,2453.66943359375,9806.6484375,2973.8427734375,-51897.0703125,52.40242004394531,-34415.36328125,1584.6495361328125,-32830.71484375,-32601.58203125,300.37750244140625,2244.133544921875,25.81770420074463,25.81770420074463,25.81770420074463,17.20888900756836,594.2948608398438,1.0363435745239258,-32829.6796875,-869.0507202148438,287.1285400390625,395.7302551269531,287.1325988769531,-441.07122802734375,-599.49853515625,395.7280578613281,-599.5014038085938,-593.7682495117188,2691.877197265625,-541.3578491210938,-742.5538330078125,-541.36572265625,1926.89404296875,1153.230224609375,-742.549560546875,1153.23583984375,2113.629150390625,-505.3985900878906,300.37750244140625,1.0
2.5,1179.720947265625,604.8602905273438,331.5545349121094,72.34294891357422,2377.864013671875,9807.408203125,3004.623779296875,-51934.00390625,49.01737976074219,-34506.61328125,1553.951904296875,-32952.66015625,-32481.19140625,294.5586242675781,-1307.1929931640625,25.79211950302124,25.79211950302124,25.79211950302124,17.157779693603516,596.0651245117188,1.0332655906677246,-32951.625,1033.50732421875,150.36260986328125,69.90400695800781,150.36578369140625,1686.5330810546875,-59.97739791870117,69.90541076660156,-59.97764205932617,859.92822265625,-1027.920166015625,-228.50762939453125,-123.93909454345703,-228.51377868652344,-2296.825927734375,145.43331909179688,-123.94181060791016,145.4337921142578,-596.8330688476562,2748.25341796875,294.5586242675781,1.0
3.0,1044.997802734375,696.4527587890625,320.4332580566406,77.648681640625,2456.15576171875,9795.359375,2979.0751953125,-51940.43359375,49.54977798461914,-34520.76171875,1755.082275390625,-32765.6796875,-32461.388671875,332.6838073730469,759.154052734375,25.880494117736816,25.880494117736816,25.880494117736816,17.334754943847656,589.979736328125,1.0439233779907227,-32764.63671875,230.2788848876953,-79.68574523925781,-451.4608154296875,-79.68220520019531,-131.6268310546875,-80.63568878173828,-451.4556884765625,-80.63721466064453,467.68243408203125,736.4765625,229.17713928222656,909.2723999023438,229.17034912109375,1316.33349609375,184.80880737304688,909.2625732421875,184.81173706054688,224.6520538330078,-2074.976318359375,332.6838073730469,1.0
3.5,1199.51171875,668.4922485351562,331.17877197265625,75.57976531982422,2342.72998046875,9767.130859375,3093.023681640625,-52033.04296875,53.03483581542969,-34502.36328125,1574.21240234375,-32928.15234375,-32430.498046875,298.39910888671875,-1746.0814208984375,25.812478065490723,25.812478065490723,25.812478065490723,17.198442459106445,594.6558227539062,1.0357143878936768,-32927.1171875,1382.7501220703125,409.6488037109375,17.3387451171875,409.6534423828125,1136.8145751953125,-319.83111572265625,17.3348388671875,-319.83428955078125,1767.31005859375,-1591.4864501953125,-734.7060546875,-14.456602096557617,-734.7150268554688,-1200.364990234375,688.717041015625,-14.44905948638916,688.7232055664062,-2446.392333984375,-2711.514404296875,298.39910888671875,1.0
4.0,1191.5570068359375,652.3485107421875,378.060302734375,74.80301666259766,2373.190185546875,9779.0205078125,3023.978515625,-51981.21484375,58.741031646728516,-34449.515625,1581.8734130859375,-32867.640625,-32398.71875,299.8512878417969,-1844.7275390625,25.857274532318115,25.857274532318115,25.857274532318115,17.28813934326172,591.570556640625,1.0411161184310913,-32866.59765625,1891.5240478515625,-705.5848999023438,136.1819610595703,-705.5889282226562,781.0275268554688,408.417724609375,136.17958068847656,408.42572021484375,1790.1849365234375,-2664.65966796875,1385.50830078125,-209.88015747070312,1385.5159912109375,-431.9490661621094,-710.4425659179688,-209.87559509277344,-710.4579467773438,-2437.57373046875,-2299.408203125,299.8512878417969,1.0
4.5,1007.6104125976562,884.5158081054688,323.1422424316406,72.05422973632812,2430.072509765625,9786.1796875,3134.584716796875,-52113.6484375,49.85049057006836,-34425.63671875,1630.662109375,-32794.9765625,-32359.849609375,309.0993957519531,1462.408203125,25.876750946044922,25.876750946044922,25.876750946044922,17.327234268188477,590.2357788085938,1.0434703826904297,-32793.93359375,-345.8458251953125,-308.457275390625,902.01025390625,-308.4600830078125,-721.143798828125,-694.772705078125,902.0122680664062,-694.7738037109375,408.682373046875,1709.6815185546875,653.0098266601562,-1788.7579345703125,653.0151977539062,2459.59228515625,1280.35888671875,-1788.76171875,1280.3609619140625,217.9507598876953,-4830.37744140625,309.0993957519531,1.0
