Time,Bond,Angle,Proper Dih.,Per. Imp. Dih.,LJ-14,Coulomb-14,LJ (SR),Coulomb (SR),Coul. recip.,Potential,Kinetic En.,Total Energy,Conserved En.,Temperature,Pressure,Box-X,Box-Y,Box-Z,Volume,Density,pV,Enthalpy,Vir-XX,Vir-XY,Vir-XZ,Vir-YX,Vir-YY,Vir-YZ,Vir-ZX,Vir-ZY,Vir-ZZ,Pres-XX,Pres-XY,Pres-XZ,Pres-YX,Pres-YY,Pres-YZ,Pres-ZX,Pres-ZY,Pres-ZZ,#Surf*SurfTen,T-System,Lamb-System
0.0,28196.333984375,18570.84765625,7428.7958984375,1673.954345703125,64398.6640625,264276.9375,84147.078125,-1408063.375,1324.354248046875,-938046.375,37010.15625,-901036.25,-901055.875,259.2410583496094,258.97186279296875,77.62828826904297,77.62828826904297,77.62828826904297,467.7998046875,590.2805786132812,28.17156219482422,-901008.0625,11473.2216796875,3519.0869140625,1274.5220947265625,3519.1201171875,7857.6875,-480.55084228515625,1274.5450439453125,-480.56060791015625,6735.78125,51.12397384643555,-241.9093017578125,-94.73919677734375,-241.9116668701172,323.93731689453125,35.00324630737305,-94.74082946777344,35.00394058227539,401.85430908203125,1663.7579345703125,259.2410583496094,1.0
0.5,28693.1796875,18610.787109375,7483.310546875,1675.12744140625,64230.7890625,264252.125,84045.8984375,-1407984.75,1321.6400146484375,-937671.875,37238.3984375,-900433.5,-901043.5625,260.8398132324219,-80.07470703125,77.68089294433594,77.68089294433594,77.68089294433594,468.75146484375,589.0822143554688,28.228872299194336,-900405.25,10988.0732421875,2485.01025390625,2048.04150390625,2485.06298828125,13355.197265625,999.1300048828125,2048.087890625,999.0919189453125,16285.7529296875,102.71876525878906,-177.98519897460938,-150.7734375,-177.9889373779297,-60.008583068847656,-85.54638671875,-150.77671813964844,-85.54368591308594,-282.9342956542969,-2363.7470703125,260.8398132324219,1.0
1.0,28270.408203125,18934.517578125,7366.14599609375,1615.4603271484375,64131.59765625,264176.15625,83707.703125,-1407895.75,1328.9779052734375,-938364.75,36714.81640625,-901649.9375,-901022.3125,257.1723327636719,-145.06448364257812,77.70339488983154,77.70339488983154,77.70339488983154,469.158935546875,588.570556640625,28.2534122467041,-901621.6875,17689.15625,677.5835571289062,1051.3704833984375,677.4683227539062,14012.4990234375,-107.81735229492188,1051.4154052734375,-107.83688354492188,11161.009765625,-380.25677490234375,-35.158199310302734,-76.21878051757812,-35.15003967285156,-124.1245346069336,0.8939528465270996,-76.22195434570312,0.8953348994255066,69.18785858154297,2497.22021484375,257.1723327636719,1.0
1.5,28941.0,18525.5078125,7530.08642578125,1637.8240966796875,63880.5078125,264065.34375,82535.453125,-1406466.875,1340.4010009765625,-938010.8125,37255.765625,-900755.0625,-900817.125,260.9614562988281,-496.4515075683594,77.71862983703613,77.71862983703613,77.71862983703613,469.4349365234375,588.2245483398438,28.27003288269043,-900726.8125,20941.283203125,-1146.53271484375,-1084.1436767578125,-1146.61083984375,18380.3203125,-614.3494873046875,-1084.0816650390625,-614.2196044921875,18986.212890625,-597.7042236328125,86.0260238647461,80.01171875,86.03155517578125,-427.1093444824219,44.77241134643555,80.00733184814453,44.76322555541992,-464.5408935546875,372.00726318359375,260.9614562988281,1.0
2.0,28111.05859375,18628.130859375,7213.8740234375,1623.2652587890625,64785.578125,264365.0625,85048.2578125,-1408846.0,1302.3094482421875,-937768.4375,36894.59765625,-900873.8125,-900547.6875,258.4316101074219,461.0421447753906,77.54725933074951,77.54725933074951,77.54725933074951,466.33642578125,592.1329345703125,28.08343505859375,-900845.75,4105.4931640625,995.4285888671875,-1595.24462890625,995.3687744140625,5361.77392578125,-119.65048217773438,-1595.208251953125,-119.69345092773438,8005.859375,585.843994140625,-68.58795166015625,118.92740631103516,-68.58369445800781,490.9665222167969,-3.804856061935425,118.92481994628906,-3.8017947673797607,306.3159484863281,-1799.7890625,258.4316101074219,1.0
2.5,29214.169921875,18045.35546875,7240.5068359375,1587.75537109375,64099.94140625,264198.90625,84295.7109375,-1408260.75,1329.570068359375,-938248.8125,36746.953125,-901501.875,-900482.4375,257.3974304199219,-420.2960205078125,77.67906188964844,77.67906188964844,77.67906188964844,468.7182922363281,589.1239013671875,28.22687530517578,-901473.625,15849.189453125,-614.9046630859375,-466.27294921875,-614.9261474609375,20785.384765625,1637.3804931640625,-466.305908203125,1637.3306884765625,17907.841796875,-247.4324951171875,46.462459564208984,41.78082275390625,46.46398162841797,-601.7515869140625,-110.11561584472656,41.78315734863281,-110.11209106445312,-411.7040100097656,100.1130142211914,257.3974304199219,1.0
3.0,28700.56640625,18522.9921875,7505.24169921875,1680.515380859375,64004.796875,264072.125,85105.484375,-1408914.125,1335.8341064453125,-937986.5625,36864.078125,-901122.5,-900420.25,258.21783447265625,91.3089828491211,77.57954120635986,77.57954120635986,77.57954120635986,466.9190673828125,591.39404296875,28.11852264404297,-901094.375,9089.52734375,-605.0657958984375,394.2471618652344,-605.0775146484375,10753.6923828125,881.9885864257812,394.1270446777344,882.0144653320312,13169.6484375,227.13702392578125,50.88380813598633,-28.469703674316406,50.8846435546875,109.21070098876953,-63.711795806884766,-28.461158752441406,-63.71363830566406,-62.42076110839844,-1788.9425048828125,258.21783447265625,1.0
3.5,28990.99609375,18692.1484375,7065.40625,1584.07568359375,63813.5390625,264042.0625,83945.4765625,-1408052.0,1317.153564453125,-938601.1875,36830.296875,-901770.875,-900345.25,257.9812316894531,-382.4938049316406,77.71798610687256,77.71798610687256,77.71798610687256,469.4232482910156,588.2391967773438,28.269329071044922,-901742.625,19389.1875,4324.61767578125,1732.013671875,4324.74755859375,13934.1748046875,3897.516845703125,1732.0390625,3897.471923828125,19726.201171875,-492.4631042480469,-307.04754638671875,-122.8826675415039,-307.0567321777344,-122.63339233398438,-286.68359375,-122.88446044921875,-286.680419921875,-532.3849487304688,-1747.385498046875,257.9812316894531,1.0
4.0,27618.126953125,18444.26953125,7198.2392578125,1542.4620361328125,64926.2734375,264346.6875,84164.2421875,-1408055.0,1322.472412109375,-938492.1875,36518.8828125,-901973.3125,-900184.625,255.79989624023438,194.2483367919922,77.65005588531494,77.65005588531494,77.65005588531494,468.19342041015625,589.7843017578125,28.195266723632812,-901945.125,10354.091796875,-1070.1082763671875,-3278.497802734375,-1070.2987060546875,10382.2998046875,2288.255859375,-3278.59912109375,2288.4150390625,7567.1640625,133.73934936523438,62.54448699951172,239.7929229736328,62.5579948425293,121.27174377441406,-160.3579559326172,239.80010986328125,-160.36924743652344,327.7339172363281,1554.7744140625,255.79989624023438,1.0
4.5,27925.9765625,18693.734375,7172.74853515625,1638.31298828125,64409.66015625,264213.84375,84068.5703125,-1408104.375,1329.432861328125,-938652.0625,36909.6796875,-901742.375,-900240.8125,258.5372619628906,84.13323211669922,77.67356872558594,77.67356872558594,77.67356872558594,468.6188659667969,589.2489013671875,28.220888137817383,-901714.125,13747.6259765625,1054.6053466796875,-3774.981201171875,1054.5316162109375,9603.1328125,-1087.0936279296875,-3774.926513671875,-1087.0618896484375,9997.4501953125,-83.43477630615234,-74.5800552368164,252.36410522460938,-74.5748291015625,183.81594848632812,75.89708709716797,252.3602294921875,75.89483642578125,152.01852416992188,790.9339599609375,258.5372619628906,1.0
