,Temperature (K),Unit-cell length (nm)
0,50.0,5.197107791900635
1,100.0,5.190742015838623
2,150.0,5.1854143142700195
3,200.0,5.180347442626953
4,250.0,5.175769329071045
5,300.0,5.171423435211182
6,350.0,5.167207717895508
7,400.0,5.163458347320557
8,450.0,5.159482955932617
9,500.0,5.156271934509277
10,550.0,5.152648448944092
11,600.0,5.149026393890381
