Time,Bond,Angle,Proper Dih.,Per. Imp. Dih.,LJ-14,Coulomb-14,LJ (SR),Coulomb (SR),Coul. recip.,Potential,Kinetic En.,Total Energy,Conserved En.,Temperature,Pressure,Box-X,Box-Y,Box-Z,Volume,Density,pV,Enthalpy,Vir-XX,Vir-XY,Vir-XZ,Vir-YX,Vir-YY,Vir-YZ,Vir-ZX,Vir-ZY,Vir-ZZ,Pres-XX,Pres-XY,Pres-XZ,Pres-YX,Pres-YY,Pres-YZ,Pres-ZX,Pres-ZY,Pres-ZZ,#Surf*SurfTen,T-System,Lamb-System
0.0,14673.689453125,8818.6171875,5738.365234375,1331.3834228515625,19568.34765625,78126.7421875,23743.111328125,-411934.71875,538.0436401367188,-259396.421875,29860.224609375,-229536.203125,-229504.625,706.05712890625,21.786733627319336,51.571173667907715,51.571173667907715,51.571173667907715,137.15797424316406,596.5182495117188,8.259846687316895,-229527.9375,10769.853515625,1464.3629150390625,-1694.3587646484375,1464.353271484375,9990.1640625,217.21034240722656,-1694.3681640625,217.24354553222656,8830.2734375,-153.2328338623047,-343.4238586425781,341.09136962890625,-343.4215087890625,-25.23479652404785,-86.62077331542969,341.09368896484375,-86.6288070678711,243.8278350830078,1717.6380615234375,706.05712890625,1.0
0.5,14448.36328125,9260.052734375,5860.1044921875,1338.118408203125,19896.453125,78219.1484375,23500.732421875,-411645.375,531.511474609375,-258590.890625,29732.376953125,-228858.515625,-229328.21875,703.0341186523438,184.64149475097656,51.50589942932129,51.50589942932129,51.50589942932129,136.6378173828125,598.7890625,8.228521347045898,-228850.28125,6518.86865234375,2575.210693359375,1519.23876953125,2575.258544921875,7467.8486328125,-2308.48095703125,1519.26220703125,-2308.455078125,13466.6689453125,923.4718017578125,-678.1849975585938,-326.2408752441406,-678.1966552734375,472.68585205078125,511.4259948730469,-326.2465515136719,511.4197082519531,-842.2332153320312,-7933.51611328125,703.0341186523438,1.0
1.0,14355.611328125,9020.6103515625,5965.130859375,1265.0916748046875,19926.654296875,78236.8125,23070.703125,-411549.6875,538.9976196289062,-259170.0625,29925.9609375,-229244.09375,-229068.828125,707.6115112304688,326.2706604003906,51.52614116668701,51.52614116668701,51.52614116668701,136.79898071289062,598.0836181640625,8.238226890563965,-229235.859375,10922.93359375,-1474.57568359375,-1487.2774658203125,-1474.65966796875,5774.03125,-1083.4517822265625,-1487.2918701171875,-1083.4439697265625,9197.158203125,-295.525634765625,400.22674560546875,343.55767822265625,400.2471618652344,1006.3394165039062,239.68783569335938,343.5611572265625,239.6859588623047,267.9981994628906,-450.3832702636719,707.6115112304688,1.0
1.5,14427.625,9102.7294921875,5675.51904296875,1306.3377685546875,19646.8203125,78126.203125,23209.658203125,-411387.0625,527.033935546875,-259365.140625,29133.310546875,-230231.828125,-229087.859375,688.8689575195312,-998.1848754882812,51.66525363922119,51.66525363922119,51.66525363922119,137.90997314453125,593.2655029296875,8.305132865905762,-230223.515625,13914.896484375,3707.368408203125,1170.6090087890625,3707.303955078125,15764.4853515625,-848.5719604492188,1170.5899658203125,-848.6129760742188,11889.0166015625,-1061.9442138671875,-814.1983642578125,-242.90866088867188,-814.1829223632812,-1437.94384765625,213.17481994628906,-242.9040985107422,213.18470764160156,-494.66656494140625,3902.160400390625,688.8689575195312,1.0
2.0,14233.8603515625,8485.06640625,6011.2255859375,1335.850830078125,19843.87109375,78278.859375,24848.6015625,-412946.71875,527.402587890625,-259381.96875,29148.203125,-230233.765625,-228661.21875,689.2210693359375,422.8761291503906,51.3731575012207,51.3731575012207,51.3731575012207,135.5841064453125,603.442626953125,8.16506576538086,-230225.59375,12695.615234375,397.63800048828125,-963.0684814453125,397.66827392578125,7141.32275390625,-949.1731567382812,-963.1168212890625,-949.1499633789062,4132.048828125,-725.6237182617188,-128.37222290039062,271.86810302734375,-128.379638671875,623.9365844726562,225.6860809326172,271.87994384765625,225.68040466308594,1370.3155517578125,7300.943359375,689.2210693359375,1.0
2.5,14395.427734375,8777.9228515625,5971.39990234375,1261.888427734375,19676.931640625,78194.171875,23618.1328125,-411665.3125,576.2230834960938,-259193.21875,29786.193359375,-229407.03125,-228874.453125,704.306640625,-132.76519775390625,51.600279808044434,51.600279808044434,51.600279808044434,137.3903350830078,595.5093383789062,8.273838996887207,-229398.75,9179.810546875,1468.5830078125,1424.792724609375,1468.5849609375,8788.8310546875,-1552.5174560546875,1424.76953125,-1552.5184326171875,13465.267578125,72.75897979736328,-304.28631591796875,-298.61016845703125,-304.2867736816406,312.00372314453125,351.2485046386719,-298.60455322265625,351.2487487792969,-783.0582885742188,-5033.2958984375,704.306640625,1.0
3.0,14949.50390625,8701.361328125,5854.015625,1289.6961669921875,19649.794921875,78244.375,23773.36328125,-411603.3125,559.1565551757812,-258582.046875,29061.49609375,-229520.546875,-228431.890625,687.1708374023438,-782.6130981445312,51.38981342315674,51.38981342315674,51.38981342315674,135.71603393554688,602.8560180664062,8.17301082611084,-229512.375,12491.572265625,-38.92961883544922,-466.1432800292969,-38.82317352294922,11326.28125,-1583.6373291015625,-466.2194519042969,-1583.6275634765625,14838.1015625,-763.1692504882812,41.097145080566406,148.1994171142578,41.07109451293945,-368.9382019042969,402.4642639160156,148.21804809570312,402.4618835449219,-1215.7320556640625,-3338.684814453125,687.1708374023438,1.0
3.5,13864.076171875,9303.0810546875,5976.79248046875,1292.34619140625,20137.431640625,78264.796875,24039.931640625,-412086.0625,550.50634765625,-258657.109375,29835.84375,-228821.265625,-228537.71875,705.4806518554688,1236.7813720703125,51.44121170043945,51.44121170043945,51.44121170043945,136.12364196777344,601.0508422851562,8.19755744934082,-228813.0625,2095.33447265625,-5449.9453125,-1397.562744140625,-5449.9599609375,4615.2373046875,828.0361328125,-1397.59619140625,827.943359375,7917.39404296875,1894.0318603515625,1356.7203369140625,279.55413818359375,1356.7239990234375,1321.6326904296875,-226.23516845703125,279.56231689453125,-226.21255493164062,494.679443359375,-5726.19287109375,705.4806518554688,1.0
4.0,14043.1357421875,9043.39453125,5546.701171875,1298.8240966796875,19824.365234375,78241.453125,23654.646484375,-411561.3125,548.660888671875,-259360.140625,30242.630859375,-229117.515625,-228483.46875,715.0992431640625,443.0455322265625,51.599411964416504,51.599411964416504,51.599411964416504,137.38339233398438,595.5394287109375,8.273421287536621,-229109.25,7776.0107421875,658.106201171875,998.30908203125,658.084716796875,7135.76513671875,1083.4158935546875,998.272216796875,1083.4429931640625,9832.6015625,591.9617309570312,-132.41119384765625,-215.92245483398438,-132.406005859375,697.6615600585938,-272.8443908691406,-215.91354370117188,-272.8509521484375,39.51329803466797,-3123.303955078125,715.0992431640625,1.0
4.5,14490.5078125,8642.9912109375,5967.51513671875,1397.1929931640625,19489.607421875,78124.25,24717.3125,-412503.4375,560.3579711914062,-259113.703125,29222.220703125,-229891.484375,-228285.03125,690.9712524414062,-522.2753295898438,51.472225189208984,51.472225189208984,51.472225189208984,136.3699951171875,599.9650268554688,8.212392807006836,-229883.265625,11963.8701171875,-1314.6661376953125,-2205.818359375,-1314.6588134765625,11052.7421875,-1834.3477783203125,-2205.81494140625,-1834.3255615234375,12639.3046875,-535.6817016601562,304.2586364746094,509.97589111328125,304.2568664550781,-306.6737365722656,493.2809753417969,509.9750671386719,493.27557373046875,-724.4705200195312,-1561.115478515625,690.9712524414062,1.0
