Time,Bond,Angle,Proper Dih.,Per. Imp. Dih.,LJ-14,Coulomb-14,LJ (SR),Coulomb (SR),Coul. recip.,Potential,Kinetic En.,Total Energy,Conserved En.,Temperature,Pressure,Box-X,Box-Y,Box-Z,Volume,Density,pV,Enthalpy,Vir-XX,Vir-XY,Vir-XZ,Vir-YX,Vir-YY,Vir-YZ,Vir-ZX,Vir-ZY,Vir-ZZ,Pres-XX,Pres-XY,Pres-XZ,Pres-YX,Pres-YY,Pres-YZ,Pres-ZX,Pres-ZY,Pres-ZZ,#Surf*SurfTen,T-System,Lamb-System
0.0,19351.111328125,13156.087890625,1439.782958984375,306.9482116699219,62970.27734375,264314.125,86348.3984375,-1416772.375,1107.03076171875,-967778.625,7093.380859375,-960685.25,-960686.0,49.686241149902344,-66.65140533447266,77.97522068023682,77.97522068023682,77.97522068023682,474.099853515625,582.4367065429688,28.550960540771484,-960656.6875,3457.986328125,2296.390380859375,-397.215087890625,2296.314697265625,3229.139892578125,-456.14276123046875,-397.2666015625,-456.14422607421875,3260.697265625,-75.30572509765625,-161.70538330078125,27.6801700592041,-161.70008850097656,-61.340084075927734,31.312891006469727,27.683778762817383,31.312992095947266,-63.30839920043945,39.100730895996094,49.686241149902344,1.0
0.5,18995.828125,13190.8974609375,1448.119140625,308.6988220214844,63196.4375,264371.96875,86303.9453125,-1416730.875,1108.9161376953125,-967806.0625,7039.2734375,-960766.8125,-960667.125,49.30724334716797,143.8234100341797,77.96245098114014,77.96245098114014,77.96245098114014,473.8669738769531,582.722900390625,28.536935806274414,-960738.25,-136.39520263671875,-1032.7476806640625,-1291.8941650390625,-1032.7774658203125,997.821533203125,-812.6076049804688,-1291.8521728515625,-812.5785522460938,21.42864990234375,175.95156860351562,71.36233520507812,90.96232604980469,71.36441802978516,93.6791000366211,58.16938781738281,90.95938873291016,58.167354583740234,161.8395233154297,210.68716430664062,49.30724334716797,1.0
1.0,19092.328125,13262.6201171875,1440.871826171875,305.10101318359375,63148.125,264358.125,85884.0390625,-1416389.125,1109.798095703125,-967788.0625,7232.7275390625,-960555.3125,-960666.0,50.66230773925781,90.6303939819336,77.98118114471436,77.98118114471436,77.98118114471436,474.2085876464844,582.3031005859375,28.55750846862793,-960526.75,423.0083923339844,-923.3952026367188,-1206.0716552734375,-923.4306640625,2318.02978515625,-877.1636352539062,-1206.1114501953125,-877.1192016601562,609.42236328125,140.08180236816406,64.61152648925781,84.71979522705078,64.61400604248047,6.8431854248046875,58.646366119384766,84.72258758544922,58.64325714111328,124.96617889404297,401.6318054199219,50.66230773925781,1.0
1.5,19008.71484375,13248.3134765625,1423.125,297.7734680175781,63132.91015625,264364.40625,86162.53125,-1416676.625,1107.8372802734375,-967931.0625,7126.5966796875,-960804.4375,-960664.5,49.918907165527344,100.5120620727539,77.95912265777588,77.95912265777588,77.95912265777588,473.8063049316406,582.7975463867188,28.533283233642578,-960775.875,-470.49127197265625,1397.6212158203125,1052.1663818359375,1397.5792236328125,987.5578002929688,-1209.8687744140625,1052.1466064453125,-1209.9114990234375,2307.62109375,199.4203338623047,-97.28692626953125,-72.81119537353516,-97.28398132324219,96.55734252929688,84.85026550292969,-72.80980682373047,84.85325622558594,5.558526992797852,-1110.3741455078125,49.918907165527344,1.0
2.0,19007.462890625,13389.587890625,1444.770751953125,305.6306457519531,63170.140625,264330.6875,85839.734375,-1416292.875,1111.2818603515625,-967693.5625,7252.6025390625,-960440.9375,-960660.5625,50.8015251159668,85.9545669555664,77.9807996749878,77.9807996749878,77.9807996749878,474.2016296386719,582.3116455078125,28.55708885192871,-960412.375,301.77508544921875,213.6129608154297,232.86904907226562,213.6305389404297,1276.83740234375,2015.110595703125,232.83453369140625,2015.11572265625,1992.0712890625,150.82632446289062,-15.443169593811035,-13.694860458374023,-15.444400787353516,78.47123718261719,-139.97862243652344,-13.692444801330566,-139.97898864746094,28.566131591796875,-671.2793579101562,50.8015251159668,1.0
2.5,19177.19921875,13435.5703125,1454.7724609375,314.56304931640625,63005.3359375,264308.40625,85527.9375,-1416056.125,1107.0843505859375,-967725.3125,7102.83740234375,-960622.5,-960645.375,49.752479553222656,-73.87250518798828,77.98143863677979,77.98143863677979,77.98143863677979,474.2132873535156,582.29736328125,28.557790756225586,-960593.9375,3377.7734375,-1049.248046875,-1715.71923828125,-1049.20751953125,3880.14794921875,1372.298583984375,-1715.611083984375,1372.3077392578125,3009.369384765625,-71.31666564941406,72.61900329589844,121.4862060546875,72.61616516113281,-105.23007202148438,-96.79586029052734,121.47863006591797,-96.79650115966797,-45.07076644897461,336.9001159667969,49.752479553222656,1.0
3.0,18904.92578125,13426.7041015625,1460.246826171875,315.05548095703125,63222.6328125,264363.875,85577.6484375,-1416062.25,1108.1180419921875,-967683.0,7187.3154296875,-960495.6875,-960634.25,50.344215393066406,143.0187225341797,77.99455642700195,77.99455642700195,77.99455642700195,474.4526672363281,582.0035400390625,28.572208404541016,-960467.125,896.0868530273438,1223.535888671875,-251.45074462890625,1223.463134765625,1156.582763671875,203.9249725341797,-251.53338623046875,203.8607635498047,-994.8946533203125,105.98186492919922,-82.51634216308594,17.446626663208008,-82.5112533569336,86.83114624023438,-15.639394760131836,17.452411651611328,-15.634899139404297,236.2431182861328,1090.6494140625,50.344215393066406,1.0
3.5,19134.138671875,13334.283203125,1465.5780029296875,301.3890380859375,63024.9921875,264326.5,85978.546875,-1416416.25,1100.505126953125,-967750.3125,7069.287109375,-960681.0,-960622.25,49.51747512817383,-37.33415222167969,77.96053409576416,77.96053409576416,77.96053409576416,473.83203125,582.765869140625,28.534832000732422,-960652.4375,3314.93505859375,1160.078369140625,-670.0579223632812,1160.064208984375,2762.879150390625,1748.0709228515625,-670.1046752929688,1748.1160888671875,2589.45849609375,-66.43042755126953,-80.77098846435547,45.987159729003906,-80.76998901367188,-26.98403549194336,-122.30016326904297,45.99043655395508,-122.30332946777344,-18.587993621826172,219.2190704345703,49.51747512817383,1.0
4.0,19114.3671875,13282.1484375,1411.0174560546875,304.2825927734375,63085.72265625,264334.34375,85587.28125,-1416090.0,1112.0374755859375,-967858.8125,7101.6923828125,-960757.125,-960626.875,49.74446105957031,28.94672966003418,77.99067497253418,77.99067497253418,77.99067497253418,474.3818359375,582.0904541015625,28.567941665649414,-960728.5625,1506.2269287109375,-1130.25927734375,-1153.9537353515625,-1130.236083984375,2291.35595703125,-680.220947265625,-1153.983642578125,-680.19091796875,2063.6865234375,59.42041015625,77.7955093383789,80.90863037109375,77.79388427734375,6.791666507720947,48.59785079956055,80.91072845458984,48.59574890136719,20.628114700317383,-97.316162109375,49.74446105957031,1.0
4.5,19134.765625,13162.3544921875,1466.683837890625,308.2685241699219,63100.5859375,264337.90625,86029.7109375,-1416364.0,1118.073486328125,-967705.6875,7077.60400390625,-960628.0625,-960599.5,49.57573318481445,-42.81736373901367,77.95779228210449,77.95779228210449,77.95779228210449,473.78204345703125,582.827392578125,28.531822204589844,-960599.5,2432.905029296875,566.3400268554688,1108.229736328125,566.3344116210938,2989.408447265625,-704.2656860351562,1108.257568359375,-704.24853515625,3487.7763671875,-4.721616268157959,-39.52004623413086,-77.26251983642578,-39.5196533203125,-43.97505569458008,47.67900466918945,-77.26447296142578,47.67780303955078,-79.75541687011719,-431.9413757324219,49.57573318481445,1.0
5.0,19006.470703125,13250.1982421875,1466.62353515625,314.9455261230469,63145.453125,264359.875,86241.21875,-1416711.25,1097.9903564453125,-967828.5,7275.7216796875,-960552.75,-960598.5625,50.96346664428711,85.97933197021484,77.9465103149414,77.9465103149414,77.9465103149414,473.5763854980469,583.0804443359375,28.51943588256836,-960524.25,1269.853515625,-1269.5775146484375,-98.81128692626953,-1269.5555419921875,1870.9329833984375,71.98728942871094,-98.87061309814453,71.82908630371094,456.81201171875,78.66246795654297,88.9344253540039,7.773945331573486,88.9328842163086,41.14659881591797,-4.61093807220459,7.778105735778809,-4.599843502044678,138.12893676757812,609.73193359375,50.96346664428711,1.0
